node1,node2,free_bw,used_bw,delay,pkloss
1,3,95791.675636,4208324.363935,29.344916,0.0
1,4,99703.12328,296876.720039,22.288442,0.0
1,5,91608.887532,8391112.468483,5.04756,0.0
1,6,91314.988577,8685011.423429,26.038289,0.010055
1,8,99998.905134,1094.865809,1.266599,0.0
1,9,93102.706355,6897293.644724,6.669998,0.0
1,13,99999.922627,77.372557,0.890017,0.0
1,14,64704.342148,35295657.85223,1.280427,0.0
1,17,76913.235117,23086764.883405,471.259475,3.390907
1,21,85612.803717,14387196.282833,1.420498,0.024608
1,22,96776.083486,3223916.514079,1.196027,0.0
1,24,94276.439598,5723560.402104,1.537085,0.0
1,26,97021.133765,2978866.234748,6.698489,0.0
1,27,99999.922373,77.626793,9.814382,0.0
1,28,75235.061366,24764938.63405,2.014518,0.0
1,30,70820.500322,29179499.677627,43.587565,0.076556
1,32,67465.040022,32534959.977788,0.0,0.034029
1,39,81132.369623,18867630.376793,30.272007,0.817068
1,41,99213.141424,786858.575502,0.0,0.0
1,45,96308.364197,3691635.803287,20.725846,1.893013
2,3,99705.484335,294515.665283,17.605782,0.0
2,4,92262.675217,7737324.78318,18.823862,0.0
2,7,88054.917973,11945082.027295,17.564893,0.0
2,25,99255.731637,744268.363498,18.390417,0.0
2,28,89115.435576,10884564.42412,17.215371,0.0
2,36,93691.8167,6308183.299538,0.0,0.0
2,38,99999.922637,77.363206,19.94288,0.0
2,46,94756.953043,5243046.957054,7.930994,0.0
3,23,98026.248416,1973751.583821,1.121521,0.0
4,5,84190.815308,15809184.692197,7.550478,0.040569
4,6,93603.202497,6396797.503167,13.796926,0.0
4,7,89798.701165,10201298.834872,13.129354,0.000672
4,11,98355.594503,1644405.496685,23.696423,1.583941
4,16,96816.293405,3183706.595105,17.060876,0.006877
4,31,61729.84473,38270155.270304,15.144944,0.040276
5,10,94023.722592,5976277.407959,0.159144,0.006088
5,12,95027.810682,4972189.318092,41.226983,0.0
5,15,91256.94677,8743053.230006,0.0,0.00089
5,16,96977.283034,3022716.965659,19.935966,0.003322
5,20,76873.076604,23126923.395761,0.340104,0.085659
5,21,95702.336552,4297663.447861,1.445651,0.002788
5,35,99258.521747,741478.25344,16.554117,0.171457
5,37,91000.062375,8999937.624575,8.92067,0.014783
5,40,99568.811374,431188.625987,0.0,0.0
6,9,96904.256485,3095743.515386,0.841618,0.0
6,40,94212.991814,5787008.186341,2.196312,0.0
7,8,90966.824166,9033175.833637,18.403411,0.076503
7,11,93163.056262,6836943.73788,11.876464,8.403227
7,13,92842.04702,7157952.980084,18.910527,0.0
7,20,61762.321354,38237678.646253,11.07645,0.128184
7,29,60737.962341,39262037.658577,25.038481,0.040433
7,30,75748.07075,24251929.250345,17.028093,0.193611
7,32,73642.285445,26357714.554795,0.0,0.0
7,35,91361.470898,8638529.102036,0.0,0.100157
7,41,99901.273167,98726.833199,2.936006,0.0
7,43,94129.875413,5870124.586993,13.478398,0.0
7,45,97470.527401,2529472.59936,0.0,5.06014
8,38,94356.291023,5643708.977126,15.124083,0.0
9,10,98191.801731,1808198.268727,0.828743,0.0
10,12,99237.763928,762236.072136,0.0,0.0
10,14,98490.354463,1509645.537,20.646095,0.0
12,15,99999.961331,38.669137,0.0,0.0
14,18,94803.071334,5196928.666098,26.970387,0.0
14,23,86078.876153,13921123.84683,1.327872,0.0
14,27,85898.873437,14101126.562615,3.821492,0.0
16,17,90443.770394,9556229.605715,25.605559,4.085909
16,19,98242.691951,1757308.049404,12.824535,0.0
16,22,95731.908585,4268091.415304,7.052064,0.00406
16,34,88782.651356,11217348.643579,22.449493,3.380605
16,42,97427.76036,2572239.640324,0.0,0.0
16,46,94630.725524,5369274.475539,10.809541,0.0
16,48,97591.37504,2408624.95961,9.830475,0.0
17,18,98871.368881,1128631.118807,3.620386,0.00263
17,19,95413.721491,4586278.508859,6.386995,0.009143
17,24,99358.667397,641332.602694,10.97405,0.027525
17,31,79318.578112,20681421.88817,13.02743,34.202163
17,44,92495.056491,7504943.508504,24.986982,7.414449
19,42,96207.768784,3792231.216202,0.860095,0.0
20,25,90971.970718,9028029.28218,14.126539,0.054502
20,33,62394.073587,37605926.413026,0.0,0.12368
21,33,84806.492442,15193507.557882,0.0,0.0
22,26,99999.92264,77.360088,18.511534,0.0
22,36,99120.180209,879819.790912,0.0,0.011216
23,29,92002.247623,7997752.37695,1.289964,0.054842
23,47,98457.517806,1542482.193954,20.192504,0.0
24,48,99999.961191,38.808788,5.0565,0.0
26,37,99999.961328,38.672253,0.0,0.0
33,34,94035.103087,5964896.912923,20.075917,21.735199
33,43,99999.922376,77.623676,0.0,0.0
34,39,89292.355907,10707644.093319,0.0,4.329231
35,47,92602.057792,7397942.208382,0.0,0.025767
40,44,97007.558505,2992441.495289,0.0,0.0
