node1,node2,free_bw,used_bw,delay,pkloss
1,3,82783.886833,17216113.167271,7.293463,0.047251
1,4,83760.283927,16239716.073187,12.353301,0.0
1,5,61684.752366,38315247.634472,17.296433,0.045824
1,6,88631.126033,11368873.966523,0.828505,0.0
1,8,93375.789055,6624210.944639,10.941505,0.0
1,9,83753.7585,16246241.500459,0.784397,0.0
1,13,37233.779222,62766220.778324,17.332911,0.149738
1,14,63172.931102,36827068.897533,19.764066,0.028359
1,17,78428.52771,21571472.289745,15.458941,0.0
1,21,88839.048856,11160951.144176,15.509844,0.000728
1,22,94171.764851,5828235.149271,19.820929,0.393419
1,24,96317.246884,3682753.11599,13.602972,0.0
1,26,95307.067922,4692932.078293,4.44746,0.158451
1,27,92875.340936,7124659.063952,2.161026,0.0
1,28,99014.385427,985614.573093,10.993481,0.0
1,30,91962.74262,8037257.380132,0.0,0.033547
1,32,97239.681887,2760318.112736,5.183935,0.0
1,39,90250.98823,9749011.769803,0.0,0.0
1,41,99640.397655,359602.344722,6.585956,0.0
1,45,95698.506806,4301493.194051,0.0,0.024757
2,3,99627.385898,372614.102175,1.778483,0.0
2,4,94861.484084,5138515.915744,3.795028,0.0
2,7,85102.886222,14897113.778398,15.48171,0.0
2,25,99627.623525,372376.474557,0.0,0.0
2,28,96048.531781,3951468.219182,0.0,0.0
2,36,97010.41852,2989581.479507,0.0,0.0
2,38,93158.643792,6841356.207518,10.381341,0.0
2,46,95773.115992,4226884.008053,0.0,0.906344
3,23,93994.714036,6005285.964063,20.877004,0.04582
4,5,84136.400483,15863599.516883,9.930372,0.0
4,6,98642.499681,1357500.31945,6.867409,0.0
4,7,99414.083893,585916.10734,0.769019,0.001141
4,11,66325.268682,33674731.31775,12.811303,0.044754
4,16,91542.666829,8457333.170719,0.720382,0.02423
4,31,91374.038426,8625961.574303,0.0,0.0
5,10,78737.566642,21262433.358191,21.359921,0.041035
5,12,59080.945571,40919054.429215,5.902529,0.013246
5,15,76377.979316,23622020.683752,0.672579,0.280586
5,16,88554.767176,11445232.823894,11.041403,1.416431
5,20,95673.049849,4326950.151296,12.84647,0.045021
5,21,96367.217335,3632782.665495,8.831143,0.193591
5,35,98946.4062,1053593.800378,11.312962,0.0
5,37,94825.051935,5174948.064925,4.644036,0.0
5,40,87853.138963,12146861.037337,20.371437,0.0
6,9,99384.60984,615390.159527,11.766553,0.0
6,40,90898.142219,9101857.781224,6.82497,0.0
7,8,93657.812179,6342187.821054,0.659108,0.0
7,11,60156.4704,39843529.59953,7.212996,0.00784
7,13,86470.129029,13529870.971052,13.417006,0.015913
7,20,99792.234318,207765.682495,15.036464,0.0
7,29,95964.933129,4035066.871351,0.0,0.0
7,30,92687.245142,7312754.858069,0.0,0.107036
7,32,93802.942206,6197057.794191,0.0,0.0
7,35,97806.689838,2193310.16242,7.677078,0.0
7,41,99349.328527,650671.472554,0.0,0.0
7,43,92814.177968,7185822.031989,0.0,0.0
7,45,97036.159759,2963840.241029,0.0,0.37402
8,38,98006.108203,1993891.797435,0.0,0.0
9,10,92476.233942,7523766.058235,1.911521,0.0
10,12,79316.560843,20683439.15717,1.404405,0.0
10,14,73350.913171,26649086.829222,11.095524,0.0
12,15,89732.602543,10267397.456682,0.856519,0.0
14,18,86149.176264,13850823.735691,1.399517,0.0
14,23,91036.480371,8963519.628653,26.268601,0.0
14,27,94448.35435,5551645.650459,6.758094,0.0
16,17,91745.920328,8254079.672485,11.352539,0.0
16,19,96620.002024,3379997.975709,1.213074,0.0
16,22,98539.39725,1460602.749989,1.639009,0.319072
16,34,99999.927947,72.053176,0.0,0.0
16,42,95450.945389,4549054.610888,12.333035,0.073056
16,46,97479.700853,2520299.147063,0.0,0.0
16,48,95462.040718,4537959.28189,0.0,0.0
17,18,86882.016378,13117983.621942,1.073003,0.0
17,19,94198.475205,5801524.795086,20.988464,0.0
17,24,99999.92796,72.039662,0.423074,0.0
17,31,93053.606519,6946393.481041,0.0,0.039659
17,44,96534.143091,3465856.909147,0.0,0.0
19,42,99796.256158,203743.841514,0.107884,0.0
20,25,95880.880546,4119119.453685,2.763391,0.221904
20,33,99999.927936,72.063986,154.874086,0.0
21,33,96147.18347,3852816.529861,0.0,0.113331
22,26,99999.122761,877.239111,0.0,0.0
22,36,98649.041441,1350958.559448,0.0,0.0
23,29,99999.963986,36.014411,3.415108,0.0
23,47,96293.486926,3706513.073799,10.053158,0.0
24,48,99237.798677,762201.323322,0.0,0.0
26,37,96508.359749,3491640.251406,8.227944,0.270317
33,34,99999.927944,72.055876,0.0,0.0
33,43,96392.522266,3607477.734161,0.0,0.0
34,39,96232.086788,3767913.212156,0.0,0.0
35,47,98837.696536,1162303.464125,0.0,0.0
40,44,97993.413945,2006586.055038,0.0,0.0
