node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.925091,74.909292,1.257896,0.0
1,4,99999.943798,56.201735,5.159855,2.777778
1,5,99999.925105,74.894679,1.27852,0.0
1,6,99999.962554,37.445879,3.034592,0.0
1,8,99999.925026,74.973725,1.608968,0.0
1,9,99999.925105,74.894679,0.0,0.0
1,13,99999.925303,74.697068,0.0,0.0
1,14,99999.925105,74.894679,0.498652,0.0
1,17,99999.962608,37.391996,6.582022,0.0
1,21,99999.925303,74.697068,1.50311,0.0
1,22,99999.925099,74.900523,0.6845,0.0
1,24,99999.923205,76.794827,2.246499,2.777778
1,26,99999.925309,74.691288,0.147104,0.0
1,27,99999.962593,37.406528,3.377914,0.0
1,28,99999.925102,74.897601,1.347899,0.0
1,30,99999.9253,74.699959,1.989484,0.0
1,32,99999.925102,74.897601,2.156496,0.0
1,39,99999.925094,74.906369,0.557661,0.0
1,41,99999.925105,74.894679,2.201438,0.0
1,45,99999.925309,74.691288,1.030922,0.0
2,3,99999.925288,74.711681,1.422405,0.0
2,4,99999.925241,74.75852,1.2784,0.0
2,7,99999.925306,74.694147,1.28746,0.0
2,25,99999.925385,74.615445,4.004478,0.0
2,28,99999.925297,74.702912,1.044989,0.0
2,36,99999.962691,37.309177,4.316926,0.0
2,38,99999.925503,74.496566,5.265474,0.0
2,46,99999.9253,74.69999,0.922441,0.0
3,23,99999.925169,74.830579,1.168013,0.0
4,5,99999.925044,74.956131,1.936078,0.0
4,6,99999.925047,74.95321,0.942826,0.0
4,7,99999.925047,74.95321,10.411382,0.0
4,11,99999.925044,74.956131,2.938986,0.0
4,16,99999.962563,37.437254,8.401394,0.0
4,31,99999.942817,57.182535,0.0,3.125
5,10,99999.925035,74.964926,2.827168,0.0
5,12,99999.925105,74.894679,2.243638,0.0
5,15,99999.925094,74.906369,1.632214,0.0
5,16,99999.925187,74.813057,5.84507,0.0
5,20,99999.925309,74.691288,2.87962,0.0
5,21,99999.925303,74.697068,1.416206,0.0
5,35,99999.925187,74.813057,0.539184,0.0
5,37,99999.925108,74.891758,4.397511,0.0
5,40,99999.925099,74.900523,1.222134,0.0
6,9,99999.925108,74.891758,0.248075,0.0
6,40,99999.962551,37.448801,5.089998,0.0
7,8,99999.925026,74.973725,6.267428,0.0
7,11,99999.962553,37.44734,8.894563,0.0
7,13,99999.925303,74.697068,1.10209,0.0
7,20,99999.925309,74.691288,3.310442,0.0
7,29,99999.925105,74.894679,2.967596,0.0
7,30,99999.9253,74.699959,2.826452,0.0
7,32,99999.925102,74.897601,4.963994,0.0
7,35,99999.925187,74.813057,2.663016,0.0
7,41,99999.925105,74.894679,2.622485,0.0
7,43,99999.925114,74.885917,2.9881,0.0
7,45,99999.925309,74.691288,2.173543,0.0
8,38,99999.925227,74.773224,0.747561,0.0
9,10,99999.925035,74.964926,0.0,0.0
10,12,99999.925035,74.964926,4.407167,0.0
10,14,99999.925035,74.964926,1.802564,0.0
12,15,99999.925094,74.906369,5.787015,0.0
14,18,99999.925117,74.882997,1.172066,0.0
14,23,99999.925184,74.815966,2.460599,0.0
14,27,99999.962593,37.406528,2.26748,0.0
16,17,99999.962649,37.351185,7.783413,0.0
16,19,99999.925269,74.731434,529.928088,0.0
16,22,99999.962591,37.40945,2.96104,0.0
16,34,99999.962592,37.407989,5.349994,0.0
16,42,99999.962692,37.307723,10.74636,0.0
16,46,99999.962592,37.407989,5.462646,0.0
16,48,99999.925269,74.731434,1.333475,0.0
17,18,99999.962615,37.384703,6.342649,0.0
17,19,99999.96265,37.349733,4.635572,0.0
17,24,99999.941986,58.014362,2.821445,0.0
17,31,99999.941986,58.014362,10.472655,0.0
17,44,99999.962601,37.399302,3.951073,0.0
19,42,99999.962692,37.307723,17.107487,0.0
20,25,99999.925387,74.612555,2.530456,0.0
20,33,99999.942023,57.977358,6.366014,3.125
21,33,99999.942021,57.978804,1.327038,2.777778
22,26,99999.925303,74.697131,6.974101,0.0
22,36,99999.962589,37.410905,10.468483,0.0
23,29,99999.925184,74.815966,3.626943,0.0
23,47,99999.925266,74.734343,2.788424,0.0
24,48,99999.942961,57.039461,0.340462,2.941176
26,37,99999.925312,74.688366,1.806617,0.0
33,34,99999.941921,58.07907,7.333994,3.125
33,43,99999.941927,58.073228,6.978512,2.941176
34,39,99999.925091,74.909291,9.792924,0.0
35,47,99999.925269,74.731434,3.735065,0.0
40,44,99999.962542,37.457568,2.951622,0.0
