node1,node2,free_bw,used_bw,delay,pkloss
1,3,95121.387128,4878612.87166,0.0,0.0
1,4,88557.293358,11442706.641762,0.0,0.001542
1,5,87627.353058,12372646.941922,0.0,0.0
1,6,86985.80826,13014191.740263,0.0,0.026262
1,8,73313.291459,26686708.540616,0.0,0.063066
1,9,99843.8263,156173.699888,0.0,0.0
1,13,93594.508096,6405491.90387,0.0,0.0
1,14,87289.07639,12710923.609701,0.0,0.0
1,17,86433.868711,13566131.289132,0.0,0.005872
1,21,99999.961644,38.355535,0.0,0.0
1,22,94471.230243,5528769.757382,0.0,0.0
1,24,93093.460439,6906539.560878,0.0,0.0
1,26,73881.272333,26118727.666968,0.0,0.0
1,27,94310.961392,5689038.60764,0.0,0.0
1,28,89378.781731,10621218.269153,0.0,0.0
1,30,99841.009173,158990.826726,0.0,0.00053
1,32,96718.365509,3281634.491018,0.0,0.0
1,39,29670.123362,70329876.637946,0.0,0.034082
1,41,94084.630681,5915369.319139,0.0,0.012229
1,45,94617.689082,5382310.917575,0.0,0.025865
2,3,93993.605901,6006394.098885,5.406618,0.0
2,4,94564.343972,5435656.028366,2.605081,0.0
2,7,80792.787137,19207212.863351,19.024491,0.017974
2,25,98575.169793,1424830.20668,5.694509,0.008293
2,28,96563.565253,3436434.746624,0.0,0.0
2,36,88207.554317,11792445.68335,0.0,0.0
2,38,62450.608893,37549391.107024,9.739995,0.0
2,46,93256.097893,6743902.106826,0.0,0.0
3,23,89148.831445,10851168.555183,0.0,0.0
4,5,97248.857986,2751142.014217,11.600494,0.0
4,6,92572.445425,7427554.574754,11.263132,0.0
4,7,90499.803454,9500196.545709,10.416508,0.037563
4,11,96330.633425,3669366.575086,9.435892,0.0
4,16,83248.666186,16751333.814048,3.854036,0.043167
4,31,95673.28601,4326713.990097,13.603449,0.0
5,10,90785.378796,9214621.20419,0.940561,0.0
5,12,93859.806201,6140193.79858,0.461698,0.0
5,15,95205.96689,4794033.1098,1.318932,0.0
5,16,84149.858668,15850141.331711,13.350964,0.0
5,20,89486.246836,10513753.163782,1.160145,0.0
5,21,90788.183803,9211816.196792,5.963564,0.014286
5,35,99417.958335,582041.664643,0.0,0.0
5,37,69536.539225,30463460.774885,17.262936,0.0
5,40,65365.095068,34634904.931777,0.0,0.0
6,9,99999.961698,38.301947,1.268387,0.0
6,40,81647.818651,18352181.349255,10.336876,0.043782
7,8,97725.583154,2274416.845794,15.260577,0.0
7,11,99575.712987,424287.012872,4.21536,0.0
7,13,96429.400543,3570599.457443,10.437846,0.000921
7,20,93938.201692,6061798.308354,21.573901,0.0
7,29,93841.618354,6158381.645509,10.299087,0.0
7,30,96925.915271,3074084.728617,608.94835,0.020096
7,32,95405.63497,4594365.03008,0.0,0.0
7,35,97972.334002,2027665.998169,0.0,0.000577
7,41,97576.694563,2423305.436757,9.943962,0.012897
7,43,87871.621294,12128378.706209,20.944118,0.0
7,45,99853.355865,146644.135298,0.0,0.0
8,38,80652.413743,19347586.256983,16.662478,0.019327
9,10,99999.923301,76.698861,8.368492,0.0
10,12,99999.923304,76.695804,16.939521,0.0
10,14,94807.465014,5192534.98569,16.655326,0.0
12,15,99999.961681,38.318769,21.663666,0.0
14,18,91940.284751,8059715.249308,17.58945,0.0
14,23,93393.678754,6606321.245603,0.0,0.0
14,27,99999.923612,76.388224,10.842919,0.0
16,17,97867.368742,2132631.258455,14.384985,0.0
16,19,96697.74187,3302258.130382,22.648573,0.0
16,22,90219.964695,9780035.304872,15.921116,0.0
16,34,89092.246623,10907753.377412,7.992983,0.0
16,42,74270.647869,25729352.131012,0.0,0.0
16,46,92127.843732,7872156.267568,0.0,0.0
16,48,92681.821372,7318178.628089,17.348528,0.0
17,18,89559.930357,10440069.642868,16.856551,0.038444
17,19,89193.087136,10806912.863665,12.004495,0.0
17,24,98368.72977,1631270.229771,2.37155,0.0
17,31,96787.714835,3212285.16485,160.423875,0.0
17,44,84103.928953,15896071.046597,2.31564,0.413437
19,42,90954.377118,9045622.881885,0.0,0.0
20,25,95748.016484,4251983.516258,13.032556,0.0
20,33,97202.601738,2797398.262399,3.311992,0.089509
21,33,94711.832234,5288167.766134,0.0,0.074988
22,26,99999.923313,76.686519,24.055958,0.0
22,36,86889.803341,13110196.65863,0.0,0.0
23,29,99108.53247,891467.530247,0.0,0.0
23,47,90678.524453,9321475.546521,0.0,0.0
24,48,98266.747655,1733252.34532,0.0,0.001828
26,37,75321.133567,24678866.433377,0.0,0.0
33,34,99999.923596,76.403519,2.468586,0.0
33,43,94899.891605,5100108.394977,3.56257,0.20358
34,39,87257.474326,12742525.674162,0.0,0.0
35,47,97837.45834,2162541.660443,0.0,0.0
40,44,90276.345223,9723654.777327,0.0,0.0
