node1,node2,free_bw,used_bw,delay,pkloss
1,3,93810.337293,6189662.706689,15.059471,0.0
1,4,99680.213291,319786.709285,10.742426,0.0
1,5,96871.192242,3128807.758339,13.319612,0.000839
1,6,90238.280983,9761719.016612,5.440474,0.032005
1,8,99076.395562,923604.437837,5.954027,0.0
1,9,92488.022765,7511977.235404,13.174534,0.0
1,13,99587.141521,412858.47916,1.026988,0.0
1,14,76849.755606,23150244.39386,0.899553,0.009037
1,17,78190.899846,21809100.15416,8.474588,0.001432
1,21,79766.030593,20233969.406765,1.363993,0.002158
1,22,93694.701723,6305298.277066,0.731111,0.0
1,24,96757.600934,3242399.066159,1.411557,0.0
1,26,98119.336798,1880663.201929,0.0,0.0
1,27,99999.962471,37.529323,23.425698,0.0
1,28,99999.924935,75.064513,1.23024,0.0
1,30,92525.305282,7474694.717839,1.50156,0.025547
1,32,64498.994478,35501005.521788,10.599971,0.02092
1,39,70826.862705,29173137.295053,9.638071,0.217229
1,41,98880.88413,1119115.869643,0.0,0.0
1,45,93389.546545,6610453.455298,18.164635,0.0
2,3,99144.966229,855033.771107,18.140078,0.0
2,4,95767.098186,4232901.813634,22.360921,0.0
2,7,92439.26329,7560736.710444,11.026144,0.0
2,25,98982.561443,1017438.556997,27.247071,0.0
2,28,92317.843027,7682156.973108,24.500132,0.0
2,36,89675.605823,10324394.176925,0.0,0.0196
2,38,96786.006703,3213993.297212,21.139026,0.0
2,46,94414.958146,5585041.853871,25.936961,0.0
3,23,92959.111327,7040888.67302,0.0,0.0
4,5,92418.95672,7581043.28021,0.726461,0.008001
4,6,98624.109775,1375890.224583,9.012341,0.001068
4,7,88472.275797,11527724.202627,7.045984,0.037838
4,11,95732.008271,4267991.72925,19.095302,0.01502
4,16,94998.241804,5001758.195897,14.005899,0.018675
4,31,78965.769265,21034230.734769,664.694428,0.0
5,10,92834.205409,7165794.59119,0.0,0.001837
5,12,95839.508688,4160491.312129,35.723567,0.0
5,15,90050.588385,9949411.615269,3.075123,0.0
5,16,86999.739813,13000260.187112,21.777987,0.005528
5,20,76113.4219,23886578.099672,1.135945,0.0
5,21,97224.763779,2775236.220524,2.465487,0.062017
5,35,98751.771888,1248228.111923,9.121656,0.063059
5,37,86709.524574,13290475.426468,15.316486,0.340785
5,40,92665.843626,7334156.374375,0.0,0.001396
6,9,99531.50677,468493.229883,7.637024,0.0
6,40,96413.624584,3586375.416113,1.138926,0.007705
7,8,90881.452147,9118547.852716,12.055993,0.0
7,11,94407.094799,5592905.201325,9.426117,0.0
7,13,93918.988232,6081011.76829,21.506667,0.0
7,20,63695.126228,36304873.771643,9.398103,0.0
7,29,88749.832805,11250167.194847,17.091036,0.0
7,30,83198.889931,16801110.068793,11.803627,0.078141
7,32,74868.43381,25131566.190435,0.0,0.0
7,35,87981.537821,12018462.179194,0.0,0.000624
7,41,99248.217565,751782.435206,9.638548,0.0
7,43,92658.033521,7341966.478561,16.061068,0.0
7,45,93675.602132,6324397.867947,0.0,0.0
8,38,92052.541044,7947458.956134,25.107026,0.0
9,10,98260.952315,1739047.684852,0.0,0.0
10,12,99999.924956,75.043972,0.0,0.0
10,14,99934.70179,65298.210358,12.053013,0.0
12,15,99999.924962,75.038108,7.128358,0.0
14,18,94106.669712,5893330.28776,18.3357,0.0
14,23,96517.088323,3482911.677402,1.099706,0.0
14,27,88943.477207,11056522.792993,17.033577,0.105579
16,17,82737.264574,17262735.425973,27.441502,0.029187
16,19,96007.074477,3992925.522765,2.103448,0.0
16,22,89667.998724,10332001.275736,7.348537,0.049916
16,34,41569.663644,58430336.356181,0.0,0.292707
16,42,96611.675209,3388324.790749,13.174891,0.046757
16,46,88137.850123,11862149.877146,6.820917,0.089074
16,48,93746.116626,6253883.374369,0.0,0.0
17,18,93907.850076,6092149.924238,12.466669,0.073461
17,19,96765.851548,3234148.451746,14.495015,0.0
17,24,96413.857909,3586142.09106,21.761537,0.0
17,31,64079.902424,35920097.575581,10.933995,0.003287
17,44,92980.388739,7019611.261489,12.280583,0.0
19,42,96753.839054,3246160.946061,0.92423,0.0
20,25,90178.960164,9821039.835606,17.787457,0.0
20,33,42454.382367,57545617.633265,0.0,0.0
21,33,78479.493215,21520506.785398,0.0,0.060748
22,26,99999.13473,865.270418,19.403458,0.0
22,36,85959.788872,14040211.128146,0.0,0.393838
23,29,98740.621857,1259378.142805,1.491666,0.0
23,47,97970.955925,2029044.075285,13.568521,0.353607
24,48,99999.925282,74.718237,36.351085,0.0
26,37,99173.988928,826011.071941,0.0,0.0
33,34,70435.79678,29564203.220259,0.0,0.076511
33,43,98133.793966,1866206.034078,0.0,0.076227
34,39,71126.55899,28873441.009909,0.0,0.145529
35,47,89538.958305,10461041.6948,0.0,0.009762
40,44,92528.956174,7471043.826148,0.0,0.0
