node1,node2,free_bw,used_bw,delay,pkloss
1,3,31449.338469,68550661.530955,3.195524,0.007085
1,4,98368.550541,1631449.458916,30.479431,0.007456
1,5,67395.107517,32604892.483218,30.391455,0.00112
1,6,66560.974681,33439025.319289,4.879355,0.236642
1,8,84886.21298,15113787.020235,557.355046,0.0
1,9,96021.251547,3978748.453399,1.631975,0.0
1,13,93963.758276,6036241.724278,0.738502,0.0
1,14,90892.78711,9107212.890294,603.998661,0.0
1,17,92422.559628,7577440.371785,22.159457,0.03651
1,21,96883.378991,3116621.008919,1.402617,0.0
1,22,90843.32718,9156672.820262,1.494527,0.0
1,24,87456.996866,12543003.134494,5.55253,0.001193
1,26,94017.41319,5982586.809942,13.671637,0.0
1,27,95161.06918,4838930.819781,9.644985,0.014245
1,28,90900.994991,9099005.008741,14.776468,0.135249
1,30,99999.921948,78.051964,11.204362,0.0
1,32,92783.400636,7216599.364487,0.0,0.0
1,39,85267.257825,14732742.174591,0.0,0.003172
1,41,97709.262456,2290737.543644,0.0,0.16835
1,45,97016.071574,2983928.42619,13.926029,0.0
2,3,69908.148168,30091851.83182,5.082607,0.026899
2,4,86075.972672,13924027.328264,2.354026,0.003765
2,7,91441.507815,8558492.184684,0.0,0.130634
2,25,96828.952213,3171047.787417,0.733018,0.0
2,28,94091.133334,5908866.666455,0.0,0.0
2,36,91089.036829,8910963.171211,0.0,0.002682
2,38,97668.982212,2331017.78811,0.0,0.0
2,46,85609.813531,14390186.468953,0.0,0.063993
3,23,83005.503653,16994496.347422,7.211447,0.0
4,5,90358.971744,9641028.256177,16.205072,0.021959
4,6,67652.732661,32347267.338722,4.848361,0.090464
4,7,81764.739656,18235260.344229,12.244821,0.235201
4,11,99329.667005,670332.994993,2.27201,0.0
4,16,83995.837561,16004162.438854,5.12445,0.081475
4,31,86792.409869,13207590.131309,12.212515,0.0
5,10,90550.964023,9449035.977057,10.9061,0.005549
5,12,96558.958595,3441041.405148,5.083084,0.277063
5,15,92325.546322,7674453.677576,4.185557,0.041469
5,16,85703.547935,14296452.065121,14.862537,0.002988
5,20,97674.012324,2325987.676142,6.522536,0.0
5,21,96262.743978,3737256.021627,25.547028,0.0
5,35,99136.612304,863387.69638,8.064151,0.212089
5,37,94231.694825,5768305.175193,0.0,0.0
5,40,79096.74015,20903259.850498,15.521526,0.121914
6,9,90915.464768,9084535.232219,3.343344,0.116009
6,40,79999.338132,20000661.867795,0.0,0.076698
7,8,95994.583304,4005416.69635,0.0,0.271668
7,11,99555.611765,444388.23502,11.186004,0.069832
7,13,97245.401868,2754598.131915,0.0,0.010126
7,20,96061.057854,3938942.146231,0.0,0.032137
7,29,93122.915021,6877084.978805,2.467513,0.0
7,30,99177.559181,822440.819342,0.0,0.023452
7,32,99264.376786,735623.213856,9.483933,0.034819
7,35,96359.000892,3640999.107993,0.0,0.052301
7,41,98369.016028,1630983.972012,0.0,0.0
7,43,92292.51925,7707480.749911,0.0,0.0
7,45,99401.682085,598317.915399,2.626896,0.110865
8,38,97307.102147,2692897.85296,0.0,0.0
9,10,91459.425831,8540574.169438,9.293437,0.0
10,12,96632.143578,3367856.421652,4.617453,0.0
10,14,93734.56213,6265437.86988,1.019955,0.0
12,15,99999.960965,39.0355,0.0,0.0
14,18,93256.878647,6743121.35291,1.675963,0.0
14,23,88771.15362,11228846.379928,10.043502,0.005585
14,27,99999.921664,78.336087,9.028554,0.0
16,17,98130.465968,1869534.032188,5.382419,0.0
16,19,96036.706857,3963293.142703,5.146027,0.0
16,22,94131.532265,5868467.735076,3.280044,0.015873
16,34,95649.215139,4350784.861427,6.727099,0.073421
16,42,89388.928549,10611071.450819,0.0,0.057324
16,46,86225.712862,13774287.137953,4.895091,0.09805
16,48,96677.744597,3322255.40275,12.016058,0.0
17,18,99998.892669,1107.330753,14.546037,0.0
17,19,99778.579355,221420.644849,1.577497,0.0
17,24,99999.921657,78.342519,19.062281,0.0
17,31,99999.921667,78.332991,2.64585,0.0
17,44,93727.805611,6272194.389347,3.801942,0.0
19,42,99999.960717,39.283084,0.0,0.0
20,25,97166.095483,2833904.517083,1.913428,0.0
20,33,97637.960585,2362039.415113,9.267449,0.0
21,33,99973.691807,26308.192587,2.108455,0.0
22,26,99952.357911,47642.089252,1.157403,0.0
22,36,96293.12644,3706873.560429,0.0,0.0
23,29,94982.892731,5017107.268925,15.823007,0.218659
23,47,94260.078868,5739921.132015,8.78644,0.0
24,48,94565.977984,5434022.015607,0.724435,0.255146
26,37,95744.412682,4255587.317677,0.0,0.0
33,34,98736.841813,1263158.186607,5.104542,0.632911
33,43,97674.210708,2325789.291553,4.422784,0.0
34,39,95442.530768,4557469.231955,1.735568,0.0
35,47,97482.727985,2517272.014901,27.462959,0.0
40,44,96801.030089,3198969.910635,0.0,0.0
