node1,node2,free_bw,used_bw,delay,pkloss
1,3,92850.26958,7149730.420068,21.697044,0.0
1,4,84838.212484,15161787.515966,11.76405,0.01177
1,5,81426.116215,18573883.785047,3.620028,0.013925
1,6,94713.421021,5286578.979118,14.343023,0.019907
1,8,87950.789329,12049210.671256,1.858592,0.000303
1,9,94956.30789,5043692.109763,13.227582,0.0
1,13,93255.423417,6744576.583408,0.13411,0.0
1,14,93323.940723,6676059.277344,0.0,0.022324
1,17,87637.732328,12362267.672489,12.528539,0.004924
1,21,94869.972819,5130027.18076,11.590958,0.0
1,22,90140.502787,9859497.212982,542.330027,0.038015
1,24,82096.706684,17903293.315613,0.0,0.0
1,26,80686.277096,19313722.903571,0.375032,0.030051
1,27,27054.92488,72945075.120026,22.746086,0.139423
1,28,31267.323515,68732676.48456,1.378059,0.107068
1,30,80481.937379,19518062.621373,0.0,0.038071
1,32,92504.938607,7495061.392602,0.0,0.0
1,39,84638.391199,15361608.801051,15.63549,0.009109
1,41,94290.047818,5709952.182059,0.671506,0.0
1,45,92374.601553,7625398.447155,11.500478,0.00338
2,3,96057.364133,3942635.866606,14.662027,0.0
2,4,82917.396432,17082603.567848,11.724114,0.00885
2,7,81716.370382,18283629.617613,2.944231,0.202369
2,25,75015.118773,24984881.227458,21.914124,0.0
2,28,72714.795028,27285204.97245,16.359091,0.176452
2,36,97083.083598,2916916.401583,116.8226,0.0
2,38,99080.27236,919727.640304,15.55264,0.0
2,46,95758.557982,4241442.018438,15.993595,0.0
3,23,88892.14456,11107855.440008,7.540464,0.0
4,5,87758.32126,12241678.73984,5.766034,0.037818
4,6,95198.301714,4801698.285943,17.535925,0.0
4,7,80812.974666,19187025.333814,35.661578,0.170155
4,11,96775.523323,3224476.676681,3.402829,0.009976
4,16,81696.315878,18303684.121545,677.113056,0.016895
4,31,87996.672484,12003327.516297,3.549099,0.0
5,10,99440.438584,559561.416497,13.200998,0.0
5,12,91626.331902,8373668.098319,38.883567,0.017315
5,15,90044.667014,9955332.986477,0.632048,0.038264
5,16,99999.922427,77.572778,13.326049,0.0
5,20,99720.602326,279397.674484,0.94831,0.0
5,21,99999.961226,38.773825,0.371933,0.0
5,35,98026.289656,1973710.344496,11.788487,0.0
5,37,98213.808672,1786191.328306,15.844464,0.0
5,40,98943.378743,1056621.256775,0.0,0.0
6,9,96606.560414,3393439.585915,1.369357,0.0
6,40,94710.957298,5289042.70248,14.152527,0.040719
7,8,96942.949511,3057050.488797,13.137102,0.006396
7,11,96386.53084,3613469.16023,0.431061,0.09997
7,13,96046.312332,3953687.668199,21.558166,0.0
7,20,97186.192683,2813807.317014,19.69409,0.044042
7,29,41479.08125,58520918.750126,23.299098,0.062384
7,30,93301.829038,6698170.96218,6.26862,0.198483
7,32,96486.800175,3513199.825103,19.851565,0.720853
7,35,98792.149818,1207850.181892,6.253123,0.005176
7,41,94676.423978,5323576.021974,11.144519,0.0
7,43,95750.599177,4249400.822864,9.764194,0.0
7,45,98932.250738,1067749.262308,17.827988,0.0
8,38,95047.525091,4952474.909113,14.908075,0.000608
9,10,99999.941846,58.153714,0.729561,0.000734
10,12,96936.09749,3063902.509904,0.452638,0.0
10,14,92817.006035,7182993.965471,9.227037,0.027001
12,15,99999.961206,38.794185,10.765195,0.0
14,18,96162.597949,3837402.050681,11.170864,0.0
14,23,82508.599139,17491400.860518,0.0,0.033944
14,27,82216.969085,17783030.91534,13.32438,0.124641
16,17,99995.237417,4762.582942,34.341931,0.0
16,19,96770.65857,3229341.430216,8.677602,0.0
16,22,99785.800393,214199.606699,0.535607,0.0
16,34,98412.527217,1587472.783271,0.0,0.0
16,42,93700.589536,6299410.463781,2.472639,0.0
16,46,99999.922355,77.644793,5.596519,0.0
16,48,97462.171872,2537828.127529,6.308436,0.0
17,18,99999.714225,285.775386,4.764438,0.0
17,19,96187.181286,3812818.714013,10.81872,0.0
17,24,98627.44115,1372558.850003,17.09938,0.0
17,31,96549.995697,3450004.302629,0.991464,0.056104
17,44,94528.647195,5471352.805214,23.424983,0.0
19,42,99999.922346,77.654202,0.590682,0.0
20,25,96947.021806,3052978.194241,18.231511,0.012515
20,33,99999.96117,38.830242,0.0,0.0
21,33,92581.141433,7418858.566749,0.0,0.0
22,26,98965.232156,1034767.843691,20.943046,0.0
22,36,97660.311998,2339688.002398,6.297588,0.0
23,29,80558.020011,19441979.988527,1.983523,0.0
23,47,91731.275993,8268724.006797,3.172994,0.0
24,48,94629.55226,5370447.740123,0.246286,0.036722
26,37,93603.477896,6396522.104115,0.0,0.003726
33,34,99999.922333,77.666761,0.0,0.0
33,43,97181.454288,2818545.711893,0.0,0.0
34,39,91556.195201,8443804.799415,0.0,0.0
35,47,97889.615596,2110384.404117,0.0,0.0
40,44,98941.116498,1058883.502077,0.0,0.0
