node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.940842,59.157554,0.0,2.941176
1,4,99999.921299,78.701427,0.12958,0.0
1,5,99999.960649,39.350713,1.195073,0.0
1,6,99999.921299,78.701427,2.433419,0.0
1,8,99999.921311,78.688527,1.842022,0.0
1,9,99999.960649,39.350713,0.549912,0.0
1,13,99999.921305,78.694977,0.338435,0.0
1,14,99999.921302,78.698202,2.412081,0.0
1,17,99999.960589,39.410566,0.543594,0.0
1,21,99999.921166,78.834138,1.874447,0.0
1,22,99999.921299,78.701427,1.174927,0.0
1,24,99999.921299,78.701427,1.659393,0.0
1,26,99999.921302,78.698202,1.259565,0.0
1,27,99999.921292,78.707879,4.589558,0.0
1,28,99999.921295,78.704653,4.766464,0.0
1,30,99999.921163,78.837365,513.560653,0.0
1,32,99999.960523,39.477316,0.0,3.125
1,39,99999.960648,39.352326,3.640056,0.0
1,41,99999.921302,78.698202,0.759959,0.0
1,45,99999.960588,39.412199,0.379562,0.0
2,3,99999.921055,78.945042,8.297563,3.333333
2,4,99999.921315,78.685301,8.771062,0.0
2,7,99999.921308,78.691753,4.092693,0.0
2,25,99999.921308,78.691753,2.756596,0.0
2,28,99999.921315,78.685301,8.051038,0.0
2,36,99999.921308,78.691753,5.131125,0.0
2,38,99999.921189,78.811498,8.370042,0.0
2,46,99999.921311,78.688527,6.443501,0.0
3,23,99999.960519,39.480584,2.084136,0.0
4,5,99999.960653,39.347487,2.593517,0.0
4,6,99999.921305,78.694975,2.586007,0.0
4,7,99999.921299,78.701427,5.167961,0.0
4,11,99999.921305,78.694975,6.071687,0.0
4,16,99999.921299,78.701427,5.528092,0.0
4,31,99999.960653,39.347487,9.381056,0.0
5,10,99999.960583,39.41708,8.70049,0.0
5,12,99999.94073,59.269557,2.494097,0.0
5,15,99999.960653,39.347487,3.229976,0.0
5,16,99999.960649,39.350713,10.965943,0.0
5,20,99999.960654,39.345875,1.229525,0.0
5,21,99999.960585,39.415456,1.439452,0.0
5,35,99999.960648,39.352327,1.736999,0.0
5,37,99999.960653,39.347487,13.781786,0.0
5,40,99999.960653,39.347487,1.06895,0.0
6,9,99999.960653,39.347487,1.299858,0.0
6,40,99999.921305,78.694975,4.54545,0.0
7,8,99999.921308,78.691753,10.099053,0.0
7,11,99999.921299,78.701427,5.403042,0.0
7,13,99999.921305,78.694977,9.025931,0.0
7,20,99999.921302,78.698202,1.267433,0.0
7,29,99999.921292,78.707879,8.560777,0.0
7,30,99999.921163,78.837365,4.971027,0.0
7,32,99999.940722,59.277663,2.124071,3.333333
7,35,99999.960644,39.355553,2.897024,0.0
7,41,99999.921302,78.698202,5.576015,0.0
7,43,99999.921289,78.711106,7.151484,0.0
7,45,99999.960586,39.413812,2.266407,0.0
8,38,99999.921189,78.811498,1.560926,0.0
9,10,99999.960585,39.415468,2.606392,0.0
10,12,99999.960458,39.54205,2.108097,3.333333
10,14,99999.921169,78.830936,5.944371,0.0
12,15,99999.940729,59.27117,3.357053,3.333333
14,18,99999.921299,78.701429,1.99461,0.0
14,23,99999.960651,39.349101,3.650904,0.0
14,27,99999.921302,78.698202,6.438971,0.0
16,17,99999.921179,78.821132,1.221895,0.0
16,19,99999.960646,39.353939,8.412838,0.0
16,22,99999.921299,78.701427,2.613544,0.0
16,34,99999.921295,78.704653,1.412034,0.0
16,42,99999.921159,78.840613,1.614928,0.0
16,46,99999.921295,78.704653,5.015969,0.0
16,48,99999.960646,39.353939,1.314521,0.0
17,18,99999.921176,78.824359,3.152609,0.0
17,19,99999.921176,78.824359,2.931595,0.0
17,24,99999.921185,78.81468,3.625035,0.0
17,31,99999.921185,78.81468,2.900124,0.0
17,44,99999.921185,78.81468,0.0,0.0
19,42,99999.921159,78.840613,0.941634,0.0
20,25,99999.921305,78.694977,2.334476,0.0
20,33,99999.921305,78.694977,1.820922,0.0
21,33,99999.921163,78.837365,2.435446,0.0
22,26,99999.921308,78.69175,10.386467,0.0
22,36,99999.921299,78.701427,11.604548,0.0
23,29,99999.960646,39.353939,1.474857,0.0
23,47,99999.960646,39.353939,4.362941,0.0
24,48,99999.960649,39.350713,0.0,0.0
26,37,99999.960654,39.345875,1.226902,0.0
33,34,99999.921295,78.704653,1.326561,0.0
33,43,99999.921289,78.711106,5.522966,0.0
34,39,99999.960649,39.350713,0.11909,0.0
35,47,99999.960644,39.355553,0.0,0.0
40,44,99999.921305,78.694975,0.0,0.0
