src,dst,add_st,mul_st
8,17,5,2.0
8,18,7,4.5
8,19,7,3.3333333333333335
8,20,5,2.25
8,21,4,1.8
8,22,5,2.0
8,23,1,1.3333333333333333
8,24,7,2.75
8,25,0,1.0
8,26,7,2.75
8,27,8,3.6666666666666665
8,28,7,2.75
8,29,-1,0.75
8,30,0,1.0
8,31,7,2.75
8,32,-1,0.75
9,1,2,1.6666666666666667
9,2,1,1.3333333333333333
9,3,5,2.6666666666666665
9,4,-1,0.75
9,5,1,1.5
9,6,-1,0.6666666666666666
9,7,3,2.5
9,8,2,1.5
9,10,-1,0.6666666666666666
9,11,3,2.0
9,12,-1,0.75
9,13,2,1.5
9,14,-2,0.6
9,15,1,1.3333333333333333
9,16,1,1.3333333333333333
9,17,1,1.25
9,18,0,1.0
9,19,1,1.25
9,20,0,1.0
9,21,0,1.0
9,22,1,1.25
9,23,3,1.75
9,24,1,1.2
9,25,1,1.25
9,26,2,1.5
9,27,2,1.5
9,28,2,1.5
9,29,2,1.5
9,30,2,1.5
9,31,2,1.5
9,32,2,1.5
10,1,2,2.0
10,2,2,1.6666666666666667
10,3,6,3.0
10,4,0,1.0
10,5,0,1.0
10,6,0,1.0
10,7,3,2.0
10,8,4,2.3333333333333335
10,9,-1,0.6666666666666666
10,11,4,2.3333333333333335
10,12,-1,0.6666666666666666
10,13,3,1.75
10,14,-3,0.4
10,15,0,1.0
10,16,0,1.0
10,17,0,1.0
10,18,-1,0.75
10,19,0,1.0
10,20,-1,0.75
10,21,-1,0.75
10,22,0,1.0
10,23,4,2.0
10,24,0,1.0
10,25,2,1.5
10,26,1,1.25
10,27,1,1.25
10,28,1,1.25
10,29,5,3.5
10,30,4,2.3333333333333335
10,31,1,1.25
10,32,3,1.75
11,1,6,2.5
11,2,0,1.0
11,3,2,1.6666666666666667
11,4,2,2.0
11,5,6,4.0
11,6,2,1.6666666666666667
11,7,-2,0.5
11,8,-1,0.75
11,9,3,2.0
11,10,4,2.3333333333333335
11,12,4,2.0
11,13,1,1.5
11,14,5,2.6666666666666665
11,15,6,3.0
11,16,6,3.0
11,17,7,3.3333333333333335
11,18,5,2.25
11,19,6,2.5
11,20,5,2.25
11,21,5,2.25
11,22,7,3.3333333333333335
11,23,0,1.0
11,24,7,2.75
11,25,0,1.0
11,26,7,2.75
11,27,7,2.75
11,28,7,2.75
11,29,1,1.5
11,30,-2,0.6
11,31,7,2.75
11,32,-1,0.75
12,1,2,2.0
12,2,3,2.0
12,3,8,5.0
12,4,2,1.6666666666666667
12,5,-1,0.6666666666666666
12,6,1,1.3333333333333333
12,7,4,2.3333333333333335
12,8,5,2.6666666666666665
12,9,-1,0.75
12,10,-1,0.6666666666666666
12,11,4,2.0
12,13,5,2.6666666666666665
12,14,-1,0.75
12,15,-1,0.6666666666666666
12,16,-1,0.75
12,17,0,1.0
12,18,0,1.0
12,19,0,1.0
12,20,0,1.0
12,21,-1,0.75
12,22,0,1.0
12,23,5,2.25
12,24,0,1.0
12,25,2,1.4
12,26,1,1.25
12,27,2,1.6666666666666667
12,28,1,1.25
12,29,4,2.0
12,30,5,2.6666666666666665
12,31,2,1.6666666666666667
12,32,5,2.6666666666666665
13,1,7,3.3333333333333335
13,2,0,1.0
13,3,3,2.5
13,4,1,1.3333333333333333
13,5,5,2.6666666666666665
13,6,2,1.6666666666666667
13,7,-1,0.6666666666666666
13,8,-1,0.75
13,9,2,1.5
13,10,3,1.75
13,11,1,1.5
13,12,5,2.6666666666666665
13,14,6,4.0
13,15,6,3.0
13,16,5,2.25
13,17,6,2.5
13,18,5,2.25
13,19,6,2.5
13,20,6,3.0
13,21,6,3.0
13,22,8,5.0
13,23,0,1.0
13,24,8,3.6666666666666665
13,25,-1,0.8
13,26,7,2.75
13,27,8,3.6666666666666665
13,28,7,2.75
13,29,0,1.0
13,30,-1,0.75
13,31,8,3.6666666666666665
13,32,0,1.0
14,1,1,1.25
14,2,3,2.0
14,3,7,3.3333333333333335
14,4,3,2.5
14,5,-1,0.75
14,6,0,1.0
14,7,3,1.75
14,8,3,1.6
14,9,-2,0.6
14,10,-3,0.4
14,11,5,2.6666666666666665
14,12,-1,0.75
14,13,6,4.0
14,15,0,1.0
14,16,1,1.3333333333333333
14,17,2,1.6666666666666667
14,18,-3,0.4
14,19,2,1.6666666666666667
14,20,2,2.0
14,21,2,2.0
14,22,2,1.6666666666666667
14,23,5,2.25
14,24,4,3.0
14,25,3,1.75
14,26,3,2.0
14,27,2,1.5
14,28,2,1.5
14,29,4,2.0
14,30,4,2.0
14,31,2,1.5
14,32,4,2.0
15,1,1,1.3333333333333333
15,2,4,2.3333333333333335
15,3,9,5.5
15,4,3,2.0
15,5,0,1.0
15,6,2,1.6666666666666667
15,7,5,2.6666666666666665
15,8,6,3.0
15,9,1,1.3333333333333333
15,10,0,1.0
15,11,6,3.0
15,12,-1,0.6666666666666666
15,13,6,3.0
15,14,0,1.0
15,16,0,1.0
15,17,0,1.0
15,18,3,2.5
15,19,2,2.0
15,20,0,1.0
15,21,-1,0.75
15,22,0,1.0
15,23,6,2.5
15,24,2,1.6666666666666667
15,25,5,2.6666666666666665
15,26,3,2.5
15,27,2,1.6666666666666667
15,28,3,2.5
15,29,5,2.25
15,30,6,3.0
15,31,2,1.6666666666666667
15,32,6,3.0
16,1,0,1.0
16,2,4,2.3333333333333335
16,3,8,3.6666666666666665
16,4,4,3.0
16,5,0,1.0
16,6,2,1.6666666666666667
16,7,4,2.0
16,8,5,2.25
16,9,1,1.3333333333333333
16,10,0,1.0
16,11,6,3.0
16,12,-1,0.75
16,13,5,2.25
16,14,1,1.3333333333333333
16,15,0,1.0
16,17,-1,0.6666666666666666
16,18,1,1.25
16,19,-1,0.6666666666666666
16,20,-1,0.75
16,21,-1,0.75
16,22,-2,0.5
16,23,8,5.0
16,24,-1,0.75
16,25,6,4.0
16,26,-1,0.75
16,27,1,1.25
16,28,1,1.25
16,29,5,2.25
16,30,4,1.8
16,31,-1,0.75
16,32,5,2.25
17,1,1,1.25
17,2,6,4.0
17,3,9,4.0
17,4,5,3.5
17,5,0,1.0
17,6,2,1.5
17,7,5,2.25
17,8,5,2.0
17,9,1,1.25
17,10,0,1.0
17,11,7,3.3333333333333335
17,12,0,1.0
17,13,6,2.5
17,14,2,1.6666666666666667
17,15,0,1.0
17,16,-1,0.6666666666666666
17,18,-3,0.4
17,19,-3,0.4
17,20,0,1.0
17,21,1,1.3333333333333333
17,22,0,1.0
17,23,7,2.75
17,24,0,1.0
17,25,5,2.25
17,26,-1,0.8
17,27,2,1.5
17,28,3,2.0
17,29,6,2.5
17,30,5,2.0
17,31,-1,0.6666666666666666
17,32,6,2.5
18,1,3,2.0
18,2,3,1.75
18,3,8,3.6666666666666665
18,4,2,1.5
18,5,1,1.3333333333333333
18,6,2,1.6666666666666667
18,7,4,2.0
18,8,7,4.5
18,9,0,1.0
18,10,-1,0.75
18,11,5,2.25
18,12,0,1.0
18,13,5,2.25
18,14,-3,0.4
18,15,3,2.5
18,16,1,1.25
18,17,-3,0.4
18,19,3,2.0
18,20,1,1.25
18,21,0,1.0
18,22,1,1.2
18,23,6,2.5
18,24,3,1.75
18,25,4,2.0
18,26,4,2.3333333333333335
18,27,3,1.75
18,28,4,2.3333333333333335
18,29,4,1.8
18,30,5,2.25
18,31,-1,0.75
18,32,5,2.25
19,1,1,1.25
19,2,4,2.0
19,3,9,4.0
19,4,3,1.75
19,5,0,1.0
19,6,4,3.0
19,7,5,2.25
19,8,7,3.3333333333333335
19,9,1,1.25
19,10,0,1.0
19,11,6,2.5
19,12,0,1.0
19,13,6,2.5
19,14,2,1.6666666666666667
19,15,2,2.0
19,16,-1,0.6666666666666666
19,17,-3,0.4
19,18,3,2.0
19,20,0,1.0
19,21,0,1.0
19,22,-2,0.6
19,23,8,3.6666666666666665
19,24,2,2.0
19,25,7,4.5
19,26,1,1.3333333333333333
19,27,3,2.0
19,28,3,2.0
19,29,5,2.0
19,30,6,2.5
19,31,-1,0.75
19,32,6,2.5
20,1,1,1.3333333333333333
20,2,4,2.3333333333333335
20,3,9,5.5
20,4,3,2.0
20,5,-1,0.6666666666666666
20,6,2,1.6666666666666667
20,7,5,2.6666666666666665
20,8,5,2.25
20,9,0,1.0
20,10,-1,0.75
20,11,5,2.25
20,12,0,1.0
20,13,6,3.0
20,14,2,2.0
20,15,0,1.0
20,16,-1,0.75
20,17,0,1.0
20,18,1,1.25
20,19,0,1.0
20,21,0,1.0
20,22,0,1.0
20,23,6,2.5
20,24,2,1.6666666666666667
20,25,-3,0.4
20,26,3,2.5
20,27,2,1.6666666666666667
20,28,1,1.25
20,29,4,1.8
20,30,6,3.0
20,31,2,1.6666666666666667
20,32,6,3.0
21,1,-2,0.5
21,2,5,3.5
21,3,8,3.6666666666666665
21,4,3,2.0
21,5,-1,0.6666666666666666
21,6,1,1.25
21,7,4,2.0
21,8,4,1.8
21,9,0,1.0
21,10,-1,0.75
21,11,5,2.25
21,12,-1,0.75
21,13,6,3.0
21,14,2,2.0
21,15,-1,0.75
21,16,-1,0.75
21,17,1,1.3333333333333333
21,18,0,1.0
21,19,0,1.0
21,20,0,1.0
21,22,1,1.3333333333333333
21,23,5,2.0
21,24,2,1.6666666666666667
21,25,3,1.6
21,26,1,1.25
21,27,-1,0.75
21,28,0,1.0
21,29,4,1.8
21,30,4,1.8
21,31,2,1.6666666666666667
21,32,-1,0.75
22,1,1,1.25
22,2,6,4.0
22,3,9,4.0
