src,dst,add_st,mul_st
8,24,-1,0.75
8,25,0,1.0
8,26,-1,0.75
8,27,0,1.0
8,28,-1,0.75
8,29,-1,0.75
8,30,0,1.0
8,31,0,1.0
8,32,-1,0.75
9,1,-1,0.6666666666666666
9,2,1,1.3333333333333333
9,3,0,1.0
9,4,-1,0.75
9,5,1,1.5
9,6,-1,0.6666666666666666
9,7,2,2.0
9,8,-1,0.75
9,10,-1,0.6666666666666666
9,11,1,1.3333333333333333
9,12,-1,0.75
9,13,-1,0.75
9,14,-2,0.6
9,15,1,1.3333333333333333
9,16,1,1.3333333333333333
9,17,-1,0.75
9,18,0,1.0
9,19,0,1.0
9,20,0,1.0
9,21,-1,0.75
9,22,-1,0.75
9,23,0,1.0
9,24,-2,0.6
9,25,1,1.25
9,26,-1,0.75
9,27,-1,0.75
9,28,-1,0.75
9,29,1,1.25
9,30,-1,0.75
9,31,0,1.0
9,32,-1,0.75
10,1,1,1.5
10,2,1,1.3333333333333333
10,3,1,1.3333333333333333
10,4,-1,0.75
10,5,0,1.0
10,6,0,1.0
10,7,1,1.3333333333333333
10,8,1,1.3333333333333333
10,9,-1,0.6666666666666666
10,11,1,1.3333333333333333
10,12,-1,0.6666666666666666
10,13,0,1.0
10,14,-3,0.4
10,15,0,1.0
10,16,0,1.0
10,17,0,1.0
10,18,-1,0.75
10,19,0,1.0
10,20,-1,0.75
10,21,-1,0.75
10,22,0,1.0
10,23,-1,0.75
10,24,-1,0.8
10,25,0,1.0
10,26,0,1.0
10,27,-1,0.75
10,28,0,1.0
10,29,2,2.0
10,30,1,1.3333333333333333
10,31,0,1.0
10,32,0,1.0
11,1,-1,0.75
11,2,0,1.0
11,3,1,1.3333333333333333
11,4,0,1.0
11,5,1,1.5
11,6,0,1.0
11,7,-2,0.5
11,8,-1,0.75
11,9,1,1.3333333333333333
11,10,1,1.3333333333333333
11,12,0,1.0
11,13,1,1.5
11,14,1,1.3333333333333333
11,15,1,1.3333333333333333
11,16,0,1.0
11,17,1,1.3333333333333333
11,18,1,1.25
11,19,0,1.0
11,20,-1,0.75
11,21,0,1.0
11,22,1,1.3333333333333333
11,23,0,1.0
11,24,0,1.0
11,25,0,1.0
11,26,0,1.0
11,27,0,1.0
11,28,0,1.0
11,29,1,1.5
11,30,-2,0.6
11,31,-1,0.75
11,32,-1,0.75
12,1,1,1.5
12,2,1,1.3333333333333333
12,3,2,2.0
12,4,0,1.0
12,5,-1,0.6666666666666666
12,6,1,1.3333333333333333
12,7,1,1.3333333333333333
12,8,1,1.3333333333333333
12,9,-1,0.75
12,10,-1,0.6666666666666666
12,11,0,1.0
12,13,1,1.3333333333333333
12,14,-1,0.75
12,15,-1,0.6666666666666666
12,16,-1,0.75
12,17,0,1.0
12,18,0,1.0
12,19,0,1.0
12,20,0,1.0
12,21,-1,0.75
12,22,0,1.0
12,23,0,1.0
12,24,-1,0.8
12,25,-1,0.8
12,26,0,1.0
12,27,1,1.3333333333333333
12,28,0,1.0
12,29,1,1.25
12,30,1,1.3333333333333333
12,31,1,1.3333333333333333
12,32,1,1.3333333333333333
13,1,-1,0.6666666666666666
13,2,0,1.0
13,3,1,1.5
13,4,0,1.0
13,5,0,1.0
13,6,0,1.0
13,7,-1,0.6666666666666666
13,8,-1,0.75
13,9,-1,0.75
13,10,0,1.0
13,11,1,1.5
13,12,1,1.3333333333333333
13,14,1,1.5
13,15,1,1.3333333333333333
13,16,0,1.0
13,17,-1,0.75
13,18,0,1.0
13,19,0,1.0
13,20,0,1.0
13,21,0,1.0
13,22,1,1.5
13,23,0,1.0
13,24,0,1.0
13,25,-1,0.8
13,26,-1,0.75
13,27,0,1.0
13,28,-1,0.75
13,29,0,1.0
13,30,-1,0.75
13,31,1,1.3333333333333333
13,32,0,1.0
14,1,-2,0.5
14,2,1,1.3333333333333333
14,3,0,1.0
14,4,1,1.5
14,5,-1,0.75
14,6,-1,0.75
14,7,0,1.0
14,8,-2,0.6
14,9,-2,0.6
14,10,-3,0.4
14,11,1,1.3333333333333333
14,12,-1,0.75
14,13,1,1.5
14,15,0,1.0
14,16,1,1.3333333333333333
14,17,0,1.0
14,18,-3,0.4
14,19,1,1.3333333333333333
14,20,2,2.0
14,21,1,1.5
14,22,0,1.0
14,23,-2,0.5
14,24,1,1.5
14,25,1,1.25
14,26,0,1.0
14,27,-2,0.5
14,28,-1,0.75
14,29,-1,0.75
14,30,-1,0.75
14,31,0,1.0
14,32,-1,0.75
15,1,0,1.0
15,2,1,1.3333333333333333
15,3,2,2.0
15,4,0,1.0
15,5,0,1.0
15,6,1,1.3333333333333333
15,7,1,1.3333333333333333
15,8,1,1.3333333333333333
15,9,1,1.3333333333333333
15,10,0,1.0
15,11,1,1.3333333333333333
15,12,-1,0.6666666666666666
15,13,1,1.3333333333333333
15,14,0,1.0
15,16,0,1.0
15,17,0,1.0
15,18,3,2.5
15,19,2,2.0
15,20,0,1.0
15,21,-1,0.75
15,22,0,1.0
15,23,1,1.25
15,24,1,1.3333333333333333
15,25,1,1.3333333333333333
15,26,2,2.0
15,27,1,1.3333333333333333
15,28,2,2.0
15,29,1,1.25
15,30,1,1.3333333333333333
15,31,1,1.3333333333333333
15,32,1,1.3333333333333333
16,1,-1,0.75
16,2,0,1.0
16,3,1,1.3333333333333333
16,4,0,1.0
16,5,0,1.0
16,6,0,1.0
16,7,-1,0.75
16,8,0,1.0
16,9,1,1.3333333333333333
16,10,0,1.0
16,11,0,1.0
16,12,-1,0.75
16,13,0,1.0
16,14,1,1.3333333333333333
16,15,0,1.0
16,17,-1,0.6666666666666666
16,18,-1,0.75
16,19,-1,0.6666666666666666
16,20,-1,0.75
16,21,-1,0.75
16,22,-2,0.5
16,23,3,2.5
16,24,-1,0.75
16,25,2,2.0
16,26,-1,0.75
16,27,0,1.0
16,28,0,1.0
16,29,0,1.0
16,30,-1,0.8
16,31,-1,0.75
16,32,0,1.0
17,1,-2,0.5
17,2,2,2.0
17,3,0,1.0
17,4,1,1.5
17,5,0,1.0
17,6,-1,0.75
17,7,0,1.0
17,8,-2,0.6
17,9,-1,0.75
17,10,0,1.0
17,11,1,1.3333333333333333
17,12,0,1.0
17,13,-1,0.75
17,14,0,1.0
17,15,0,1.0
17,16,-1,0.6666666666666666
17,18,-3,0.4
17,19,-3,0.4
17,20,0,1.0
17,21,0,1.0
17,22,0,1.0
17,23,0,1.0
17,24,-2,0.5
17,25,1,1.25
17,26,-2,0.6
17,27,-1,0.75
17,28,0,1.0
17,29,1,1.25
17,30,-2,0.6
17,31,-1,0.6666666666666666
17,32,-1,0.75
18,1,0,1.0
18,2,1,1.25
18,3,1,1.3333333333333333
18,4,0,1.0
18,5,1,1.3333333333333333
18,6,1,1.3333333333333333
18,7,1,1.25
18,8,2,2.0
18,9,0,1.0
