node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.92127,78.730472,0.148058,0.0
1,4,99999.921266,78.733702,2.321005,0.0
1,5,99999.921273,78.727245,0.023484,0.0
1,6,99999.921266,78.733702,0.550508,0.0
1,8,99999.92127,78.730472,1.336932,0.0
1,9,99999.921273,78.727245,0.0,0.0
1,13,99999.921266,78.7337,0.0,0.0
1,14,99999.92126,78.740157,1.940966,0.0
1,17,99999.960636,39.363623,2.228498,0.0
1,21,99999.921266,78.7337,0.875831,0.0
1,22,99999.940977,59.022853,57.605028,2.173913
1,24,99999.921289,78.711116,1.670361,0.0
1,26,99999.921561,78.438938,0.803947,0.0
1,27,99999.921564,78.435758,5.238652,0.0
1,28,99999.921586,78.413515,2.052903,0.0
1,30,99999.921561,78.438987,1.663923,0.0
1,32,99999.921583,78.416744,0.0,0.0
1,39,99999.921564,78.435758,8.691072,0.0
1,41,99999.92158,78.419867,0.0,0.0
1,45,99999.921561,78.438938,0.138402,0.0
2,3,99999.921279,78.720787,2.054572,0.0
2,4,99999.96064,39.360394,0.048518,0.0
2,7,99999.92127,78.730472,0.646472,0.0
2,25,99999.921574,78.426073,11.248469,0.0
2,28,99999.921596,78.403829,0.060916,0.0
2,36,99999.921574,78.426073,6.052017,0.0
2,38,99999.960787,39.213036,0.239015,0.0
2,46,99999.921571,78.429252,1.15335,0.0
3,23,99999.921279,78.720787,2.622128,0.0
4,5,99999.960641,39.35878,0.891924,0.0
4,6,99999.921279,78.720787,4.379392,0.0
4,7,99999.92127,78.730472,3.140569,0.0
4,11,99999.960638,39.362008,0.31507,0.0
4,16,99999.96064,39.360394,0.989437,0.0
4,31,99999.921593,78.407057,0.097394,0.0
5,10,99999.960619,39.381387,0.0,0.0
5,12,99999.921257,78.743387,2.357483,0.0
5,15,99999.960633,39.36685,0.897527,0.0
5,16,99999.960635,39.365236,0.60451,0.0
5,20,99999.960619,39.381387,1.140833,0.0
5,21,99999.960633,39.36685,0.0,0.0
5,35,99999.960784,39.216289,0.0,0.0
5,37,99999.921577,78.423044,1.812339,0.0
5,40,99999.960781,39.219469,0.0,0.0
6,9,99999.921282,78.71756,0.813365,0.0
6,40,99999.921571,78.429252,1.990557,0.0
7,8,99999.92127,78.730472,0.034451,0.0
7,11,99999.92127,78.730472,1.984119,0.0
7,13,99999.921266,78.7337,1.640558,0.0
7,20,99999.921237,78.762775,2.975345,0.0
7,29,99999.921583,78.416691,3.093481,0.0
7,30,99999.921564,78.435758,3.499985,0.0
7,32,99999.921586,78.413515,0.0,0.0
7,35,99999.921567,78.432579,1.608849,0.0
7,41,99999.92158,78.419867,0.0,0.0
7,43,99999.921583,78.416691,0.0,0.0
7,45,99999.921561,78.438938,1.038432,0.0
8,38,99999.921574,78.426073,0.303507,0.0
9,10,99999.92125,78.749862,0.938535,0.0
10,12,99999.960617,39.383002,0.835538,0.0
10,14,99999.960619,39.381387,1.136541,0.0
12,15,99999.960632,39.368465,3.88658,0.0
14,18,99999.92126,78.740157,2.355456,0.0
14,23,99999.960633,39.366851,1.799464,0.0
14,27,99999.960781,39.219494,2.578378,0.0
16,17,99999.921286,78.714333,1.426339,0.0
16,19,99999.92125,78.749857,2.418518,0.0
16,22,99999.921305,78.69498,4.316092,0.0
16,34,99999.921596,78.403829,1.5136,0.0
16,42,99999.921574,78.426025,2.029061,0.0
16,46,99999.921574,78.426025,2.498388,0.0
16,48,99999.921574,78.426073,1.823545,0.0
17,18,99999.921273,78.727245,1.612425,0.0
17,19,99999.921253,78.74663,1.655936,0.0
17,24,99999.921302,78.698204,1.838803,0.0
17,31,99999.921599,78.400602,0.140905,0.0
17,44,99999.921577,78.422845,1.896024,0.0
19,42,99999.921542,78.458322,5.582571,0.0
20,25,99999.921542,78.458375,1.846433,0.0
20,33,99999.921542,78.458375,2.08354,0.0
21,33,99999.921571,78.429301,0.475526,0.0
22,26,99999.921593,78.406672,3.828526,0.0
22,36,99999.921597,78.403493,2.631903,0.0
23,29,99999.921593,78.407005,4.039049,0.0
23,47,99999.921577,78.422894,0.96643,0.0
24,48,99999.921593,78.406717,1.738429,0.0
26,37,99999.960939,39.060912,1.344919,0.0
33,34,99999.921891,78.109115,2.622008,0.0
33,43,99999.921888,78.112291,0.0,0.0
34,39,99999.921891,78.109115,1.698494,0.0
35,47,99999.921875,78.125,0.98753,0.0
40,44,99999.960933,39.067269,0.0,0.0
