node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.92016,79.840333,0.0,0.0
1,4,99999.920163,79.837011,1.345038,0.0
1,5,99999.920156,79.843651,0.003099,0.0
1,6,99999.920163,79.837011,0.0,0.0
1,8,99999.960078,39.921825,1.067996,0.0
1,9,99999.920156,79.843651,0.07093,0.0
1,13,99999.960078,39.921825,0.199318,0.0
1,14,99999.920156,79.843651,0.0,0.0
1,17,99999.960078,39.921825,1.240015,0.0
1,21,99999.920156,79.843651,1.2815,0.0
1,22,99999.92016,79.840328,0.98145,0.0
1,24,99999.920156,79.843651,0.185966,0.0
1,26,99999.92016,79.840328,0.946045,0.0
1,27,99999.92016,79.840333,1.411319,0.0
1,28,99999.920163,79.837011,6.947517,0.0
1,30,99999.920163,79.837011,1.121402,0.0
1,32,99999.96008,39.920167,2.427936,0.0
1,39,99999.92016,79.840333,0.0,0.0
1,41,99999.920183,79.817086,0.0,0.0
1,45,99999.920156,79.843651,0.0,0.0
2,3,99999.920126,79.873534,0.795484,0.0
2,4,99999.92013,79.870211,3.086567,0.0
2,7,99999.92013,79.870211,1.086473,0.0
2,25,99999.920126,79.873534,7.802367,0.0
2,28,99999.92013,79.870211,1.716614,0.0
2,36,99999.92013,79.870211,2.833962,0.0
2,38,99999.92013,79.870211,0.799417,0.0
2,46,99999.92013,79.870211,1.855493,0.0
3,23,99999.92013,79.870211,0.0,0.0
4,5,99999.92013,79.870211,1.001596,0.0
4,6,99999.920133,79.866889,0.093699,0.0
4,7,99999.960067,39.933444,2.394557,0.0
4,11,99999.920133,79.866889,0.0,0.0
4,16,99999.960067,39.933444,2.237678,0.0
4,31,99999.92013,79.870211,1.199603,0.0
5,10,99999.92013,79.870211,10.89251,0.0
5,12,99999.92013,79.870211,1.478553,0.0
5,15,99999.920126,79.873534,0.956535,0.0
5,16,99999.960065,39.935106,2.140522,0.0
5,20,99999.92013,79.870211,0.001431,0.0
5,21,99999.920126,79.873534,2.162576,0.0
5,35,99999.960063,39.936767,1.670122,0.0
5,37,99999.960065,39.935106,0.0,0.0
5,40,99999.92013,79.870211,2.8795,0.0
6,9,99999.92013,79.870211,1.175642,0.0
6,40,99999.920133,79.866889,0.0,0.0
7,8,99999.960065,39.935106,0.216603,0.0
7,11,99999.960067,39.933444,0.214577,0.0
7,13,99999.960065,39.935106,4.437566,0.0
7,20,99999.920133,79.866889,0.0,0.0
7,29,99999.960067,39.933444,2.112269,0.0
7,30,99999.920133,79.866889,0.0,0.0
7,32,99999.960065,39.935106,0.0,0.0
7,35,99999.960065,39.935106,0.0,0.0
7,41,99999.960078,39.921823,0.0,0.0
7,43,99999.960078,39.921823,0.074983,0.0
7,45,99999.960065,39.935106,0.394464,0.0
8,38,99999.92013,79.870211,0.851035,0.0
9,10,99999.960065,39.935106,0.536442,0.0
10,12,99999.960067,39.933444,3.027439,0.0
10,14,99999.960065,39.935106,0.362873,0.0
12,15,99999.92013,79.870211,0.540972,0.0
14,18,99999.920156,79.843651,0.0,0.0
14,23,99999.92013,79.870211,0.0,0.0
14,27,99999.920126,79.873534,0.0,0.0
16,17,99999.960063,39.936767,2.493024,0.0
16,19,99999.960067,39.933444,0.0,0.0
16,22,100000.0,0.0,1.256108,0.0
16,34,99999.960065,39.935106,0.818968,0.0
16,42,99999.960065,39.935106,0.772476,0.0
16,46,99999.960063,39.936767,0.78547,0.0
16,48,99999.960065,39.935106,1.221657,0.0
17,18,99999.960078,39.921825,1.062512,0.0
17,19,100000.0,0.0,0.0,0.0
17,24,99999.960063,39.936767,2.402544,0.0
17,31,99999.960063,39.936767,3.257036,0.0
17,44,99999.920126,79.873534,0.576854,0.0
19,42,99999.920133,79.866889,1.130462,0.0
20,25,99999.92013,79.870211,4.602432,0.0
20,33,99999.960065,39.935106,0.0,0.0
21,33,99999.960063,39.936767,2.176523,0.0
22,26,99999.960067,39.933444,2.373695,0.0
22,36,99999.960067,39.933444,16.114593,0.0
23,29,99999.920133,79.866889,2.586365,0.0
23,47,99999.920133,79.866889,1.403451,0.0
24,48,99999.92013,79.870211,1.111627,0.0
26,37,99999.920133,79.866889,0.0,0.0
33,34,99999.960063,39.936767,1.543403,0.0
33,43,99999.960077,39.923484,1.080632,0.0
34,39,99999.920126,79.873534,0.0,0.0
35,47,99999.960067,39.933444,5.020857,0.0
40,44,99999.92013,79.870211,0.827432,0.0
