node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.923387,76.613064,1.496911,0.0
1,4,99999.92339,76.610008,2.538085,0.0
1,5,99999.923384,76.616121,0.0,0.0
1,6,99999.923384,76.616121,1.380086,0.0
1,8,99999.92339,76.610009,3.056526,0.0
1,9,99999.923387,76.613064,0.0,0.0
1,13,99999.923417,76.58252,2.972364,0.0
1,14,99999.923381,76.619179,2.381921,0.0
1,17,99999.961692,38.308061,1.176953,0.0
1,21,99999.923417,76.582526,1.220465,0.0
1,22,99999.923384,76.616121,4.567981,0.0
1,24,99999.923378,76.622236,5.604982,0.0
1,26,99999.923414,76.585578,0.267506,0.0
1,27,99999.923384,76.616121,1.759052,0.0
1,28,99999.923411,76.588625,0.430584,0.0
1,30,99999.923424,76.576418,1.734614,0.0
1,32,99999.961706,38.294313,0.156522,0.0
1,39,99999.923414,76.585573,4.885435,0.0
1,41,99999.923381,76.619179,0.0,0.0
1,45,99999.923411,76.58863,1.250029,0.0
2,3,99999.923396,76.603895,3.523827,0.0
2,4,99999.923399,76.600838,0.512958,0.0
2,7,99999.923393,76.606952,1.95384,0.0
2,25,99999.92339,76.610008,2.774954,0.0
2,28,99999.923417,76.582512,1.372099,0.0
2,36,99999.923393,76.606952,0.652909,0.0
2,38,99999.923424,76.576407,1.745462,0.0
2,46,99999.923417,76.582512,0.607967,0.0
3,23,99999.923387,76.613064,2.645612,0.0
4,5,99999.923387,76.613064,1.774073,0.0
4,6,99999.92339,76.610008,2.358437,0.0
4,7,99999.961695,38.305004,0.11301,0.0
4,11,99999.92339,76.610007,1.088142,0.0
4,16,99999.92339,76.610008,1.150012,0.0
4,31,99999.923414,76.585568,0.302553,0.0
5,10,99999.923427,76.573367,1.618981,0.0
5,12,99999.923384,76.616121,1.497626,0.0
5,15,99999.923384,76.616121,1.045227,0.0
5,16,99999.923384,76.616121,3.299594,0.0
5,20,99999.923417,76.58252,3.310204,0.0
5,21,99999.923417,76.58252,1.123548,0.0
5,35,99999.923387,76.613064,1.053572,0.0
5,37,99999.923384,76.616121,0.918984,0.0
5,40,99999.923414,76.585573,0.969648,0.0
6,9,99999.923387,76.613064,0.0,0.0
6,40,99999.923414,76.585573,3.393531,0.0
7,8,99999.923393,76.606952,2.161384,0.0
7,11,99999.961693,38.306532,10.683179,0.0
7,13,99999.923417,76.58252,0.0,0.0
7,20,99999.923421,76.579469,0.0,0.0
7,29,99999.923381,76.619179,0.0,0.0
7,30,99999.923424,76.576418,0.059962,0.0
7,32,99999.961706,38.294313,4.977942,0.0
7,35,99999.923387,76.613064,0.043035,0.0
7,41,99999.961692,38.308061,0.0,0.0
7,43,99999.923408,76.591678,1.323938,0.0
7,45,99999.961707,38.292786,3.508568,0.0
8,38,99999.923427,76.573351,5.893469,0.0
9,10,99999.92343,76.57031,0.0,0.0
10,12,99999.92343,76.570317,1.620889,0.0
10,14,99999.923427,76.573367,0.338554,0.0
12,15,99999.923384,76.616121,0.881553,0.0
14,18,99999.923381,76.619179,0.37396,0.0
14,23,99999.923384,76.616121,0.0,0.0
14,27,99999.923384,76.616121,1.774907,0.0
16,17,99999.92339,76.610007,2.267122,0.0
16,19,99999.923424,76.576412,1.785517,0.0
16,22,99999.923387,76.613064,0.758171,0.0
16,34,99999.923414,76.585568,0.22459,0.0
16,42,99999.923427,76.57336,1.262546,0.0
16,46,99999.923414,76.585568,1.50156,0.0
16,48,99999.923387,76.613064,2.814651,0.0
17,18,99999.961692,38.308061,0.447512,0.0
17,19,99999.96171,38.289734,0.542641,0.0
17,24,99999.96169,38.309589,4.870534,0.0
17,31,99999.961706,38.294313,1.077652,0.0
17,44,99999.923417,76.582516,1.158714,0.0
19,42,99999.923463,76.536714,4.789948,0.0
20,25,99999.923417,76.58252,0.674605,0.0
20,33,99999.923417,76.58252,0.0,0.0
21,33,99999.923421,76.579469,1.283169,0.0
22,26,99999.923417,76.58252,0.148654,0.0
22,36,99999.923384,76.616121,8.666158,0.0
23,29,99999.923381,76.619179,0.0,0.0
23,47,99999.923384,76.616121,25.294542,0.0
24,48,99999.923381,76.619179,0.962496,0.0
26,37,99999.923421,76.579469,0.474572,0.0
33,34,99999.923411,76.588625,0.0,0.0
33,43,99999.923408,76.591678,0.0,0.0
34,39,99999.923442,76.558077,0.0,0.0
35,47,99999.923387,76.613064,0.270963,0.0
40,44,99999.923445,76.555024,0.412107,0.0
