node1,node2,free_bw,used_bw,delay,pkloss
1,3,88467.076781,11532923.218673,0.148058,0.025974
1,4,95732.002297,4267997.702938,2.321005,0.0
1,5,93338.777409,6661222.591436,0.023484,0.0
1,6,95087.433415,4912566.585351,0.550508,0.0
1,8,95625.202721,4374797.279057,1.336932,0.0
1,9,97749.23885,2250761.150334,0.0,0.0
1,13,97531.856466,2468143.533567,0.0,0.018268
1,14,95302.065697,4697934.30288,1.940966,0.0
1,17,99986.327138,13672.862037,2.228498,0.0
1,21,99999.963139,36.860699,0.875831,0.0
1,22,99999.944715,55.285387,57.605028,0.0
1,24,99363.43886,636561.14031,1.670361,0.068776
1,26,99857.712496,142287.503753,0.803947,0.0
1,27,99999.96301,36.990439,5.238652,0.0
1,28,98929.850955,1070149.045458,2.052903,0.0
1,30,99739.680645,260319.354514,1.663923,0.15873
1,32,99875.128221,124871.778639,0.0,0.0
1,39,99999.963014,36.986153,8.691072,0.0
1,41,99999.926028,73.972306,0.0,0.0
1,45,99999.963014,36.986153,0.138402,0.0
2,3,96090.401929,3909598.070947,2.054572,0.0
2,4,99711.769664,288230.335562,0.048518,0.0
2,7,98976.996889,1023003.111032,0.646472,0.0
2,25,99999.963011,36.989024,11.248469,0.0
2,28,99999.963008,36.991896,0.060916,0.0
2,36,99999.926031,73.969436,6.052017,0.0
2,38,99999.926028,73.972306,0.239015,0.0
2,46,99999.926031,73.969436,1.15335,0.0
3,23,98248.16585,1751834.149928,2.622128,0.0
4,5,99999.926279,73.721396,0.891924,0.0
4,6,99999.926279,73.721396,4.379392,0.0
4,7,99999.92629,73.710074,3.140569,0.0
4,11,97728.316906,2271683.093897,0.31507,0.0
4,16,98523.558865,1476441.134505,0.989437,0.0
4,31,99588.526137,411473.863358,0.097394,0.0
5,10,99292.848859,707151.14108,0.0,0.0
5,12,99820.671376,179328.624079,2.357483,0.0
5,15,97947.634529,2052365.471383,0.897527,0.0
5,16,99999.926279,73.721396,0.60451,0.0
5,20,98994.04871,1005951.290266,1.140833,0.0
5,21,99999.926276,73.724228,0.0,0.0
5,35,99999.926028,73.972265,0.0,0.0
5,37,99999.926016,73.98375,1.812339,0.0
5,40,99999.926028,73.972265,0.0,0.0
6,9,99999.926267,73.732719,0.813365,0.0
6,40,99999.926016,73.983588,1.990557,0.0
7,8,99999.926301,73.698758,0.034451,0.0
7,11,99999.926279,73.721396,1.984119,0.0
7,13,99999.926301,73.698758,1.640558,0.0
7,20,99999.926304,73.69593,2.975345,0.0
7,29,99274.278589,725721.411115,3.093481,0.121803
7,30,99999.926019,73.980878,3.499985,0.0
7,32,99999.926016,73.98375,0.0,0.0
7,35,99999.926028,73.972265,1.608849,0.0
7,41,99999.926025,73.975136,0.0,0.0
7,43,99999.926025,73.975136,0.0,0.0
7,45,99999.926025,73.975136,1.038432,0.0
8,38,99999.926036,73.96382,0.303507,0.0
9,10,99999.963146,36.853626,0.938535,0.0
10,12,99999.926304,73.69593,0.835538,0.0
10,14,99999.926301,73.69876,1.136541,0.0
12,15,99999.926301,73.698758,3.88658,0.0
14,18,97910.379682,2089620.317983,2.355456,0.0
14,23,99999.926284,73.715734,1.799464,0.0
14,27,99999.926019,73.980878,2.578378,0.0
16,17,99999.963132,36.867775,1.426339,0.0
16,19,98523.785487,1476214.51271,2.418518,0.0
16,22,99999.926267,73.732719,4.316092,0.0
16,34,99999.926008,73.992201,1.5136,0.0
16,42,99999.963008,36.991794,2.029061,0.0
16,46,99999.926016,73.983588,2.498388,0.0
16,48,99999.926016,73.983588,1.823545,0.0
17,18,99999.963142,36.85787,1.612425,0.0
17,19,99999.926287,73.712912,1.655936,0.0
17,24,99999.926264,73.735551,1.838803,0.0
17,31,99999.926002,73.997904,0.140905,0.0
17,44,99999.963005,36.994645,1.896024,0.0
19,42,99999.926039,73.96095,5.582571,0.0
20,25,99999.963017,36.983367,1.846433,0.0
20,33,99999.601812,398.187588,2.08354,0.0
21,33,99999.926005,73.995032,0.475526,0.0
22,26,99999.926005,73.995072,3.828526,0.0
22,36,99999.926016,73.983588,2.631903,0.0
23,29,99999.926005,73.995155,4.039049,0.0
23,47,99999.926022,73.977926,0.96643,0.0
24,48,99999.926016,73.983588,1.738429,0.0
26,37,99999.925743,74.257426,1.344919,0.0
33,34,99999.925748,74.251682,2.622008,0.0
33,43,99999.962877,37.12297,0.0,0.0
34,39,99999.925754,74.24594,1.698494,0.0
35,47,99999.925766,74.234457,0.98753,0.0
40,44,99999.925763,74.237328,0.0,0.0
