node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.960088,39.911861,0.0,0.0
1,4,99999.960086,39.913521,1.002431,0.0
1,5,99999.920176,79.823723,1.783609,0.0
1,6,99999.920173,79.827041,1.68705,0.0
1,8,99999.960081,39.918501,0.232935,0.0
1,9,99999.920176,79.823723,0.772476,0.0
1,13,99999.960065,39.935121,1.116514,0.0
1,14,99999.92018,79.820404,3.715515,0.0
1,17,99999.960086,39.913521,0.680447,0.0
1,21,99999.960065,39.935121,0.061512,0.0
1,22,99999.960072,39.92847,1.18041,0.0
1,24,99999.920146,79.853616,1.425624,0.0
1,26,99999.960065,39.935121,1.941919,0.0
1,27,99999.960086,39.913521,0.928402,0.0
1,28,99999.920143,79.85694,2.126455,0.0
1,30,99999.960065,39.935117,0.0,0.0
1,32,99999.92014,79.860258,0.016928,0.0
1,39,99999.96007,39.930129,1.201868,0.0
1,41,99999.92015,79.850292,6.083012,0.0
1,45,99999.960072,39.92847,6.870031,0.0
2,3,99999.920163,79.837001,8.17275,0.0
2,4,99999.920163,79.837001,1.190901,0.0
2,7,99999.920166,79.833682,1.07193,0.0
2,25,99999.920116,79.88352,0.67997,0.0
2,28,99999.960065,39.935109,2.110481,0.0
2,36,99999.920166,79.833682,0.546455,0.0
2,38,99999.920113,79.886847,2.218485,0.0
2,46,99999.92013,79.870218,2.17092,0.0
3,23,99999.920173,79.827041,2.569675,0.0
4,5,99999.920176,79.823723,0.0,0.0
4,6,99999.920173,79.827041,0.0,0.0
4,7,99999.920173,79.827041,6.558418,0.0
4,11,99999.960088,39.911861,1.625419,0.0
4,16,99999.920173,79.827041,0.0,0.0
4,31,99999.920146,79.853616,0.0,0.0
5,10,99999.92013,79.870234,1.682043,0.0
5,12,99999.920176,79.823723,2.173543,0.0
5,15,99999.920173,79.827041,0.761986,0.0
5,16,99999.920173,79.827041,1.677036,0.0
5,20,99999.920126,79.873561,0.1055,0.0
5,21,99999.920126,79.873561,1.979113,0.0
5,35,99999.920173,79.827041,3.183961,0.0
5,37,99999.920173,79.827041,0.970125,0.0
5,40,99999.920143,79.856934,1.912594,0.0
6,9,99999.920173,79.827041,3.591776,0.0
6,40,99999.920143,79.856934,0.477076,0.0
7,8,99999.920163,79.837003,5.983949,0.0
7,11,99999.92018,79.820404,2.014995,0.0
7,13,99999.92013,79.870242,1.824975,0.0
7,20,99999.92013,79.870242,1.417518,0.0
7,29,99999.920146,79.853616,0.830531,0.0
7,30,99999.920133,79.866916,1.08099,0.0
7,32,99999.920143,79.85694,0.234962,0.0
7,35,99999.920176,79.823723,1.326442,0.0
7,41,99999.92015,79.850292,2.399921,0.0
7,43,99999.920146,79.853616,0.663638,0.0
7,45,99999.920143,79.85694,1.520514,0.0
8,38,99999.92011,79.890168,0.436544,0.0
9,10,99999.960065,39.935117,1.229525,0.0
10,12,99999.960065,39.935117,1.323342,0.0
10,14,99999.960067,39.933458,1.551509,0.0
12,15,99999.960086,39.913521,4.557967,0.0
14,18,99999.92018,79.820404,3.386855,0.0
14,23,99999.920176,79.823723,0.935912,0.0
14,27,99999.960088,39.911861,0.30899,0.0
16,17,99999.960085,39.91518,2.473474,0.0
16,19,99999.92013,79.870234,0.151038,0.0
16,22,99999.92014,79.860258,2.046943,0.0
16,34,99999.920143,79.856934,3.16155,0.0
16,42,99999.920126,79.873561,2.364039,0.0
16,46,99999.92014,79.860258,0.358462,0.0
16,48,99999.920173,79.827041,5.658388,0.0
17,18,99999.960086,39.913521,3.491879,0.0
17,19,99999.920126,79.873553,0.573516,0.0
17,24,99999.92014,79.860253,0.686049,0.0
17,31,99999.92014,79.860253,7.665992,0.0
17,44,99999.920136,79.863578,1.932502,0.0
19,42,99999.920083,79.916754,0.842094,0.0
20,25,99999.92008,79.92008,7.364035,0.0
20,33,99999.920126,79.873561,2.519965,0.0
21,33,99999.920126,79.873561,1.512051,0.0
22,26,99999.920093,79.906778,0.26536,0.0
22,36,99999.920143,79.85694,1.158476,0.0
23,29,99999.920143,79.856934,1.040936,0.0
23,47,99999.920173,79.827041,1.993537,0.0
24,48,99999.920143,79.856934,1.200676,0.0
26,37,99999.920126,79.873561,0.52011,0.0
33,34,99999.920143,79.856934,1.470208,0.0
33,43,99999.960072,39.928467,1.22869,0.0
34,39,99999.92011,79.890151,7.591605,0.0
35,47,99999.920173,79.827041,2.709389,0.0
40,44,99999.92011,79.890151,2.304435,0.0
