10,3,78,100
22,20,28,25
15,20,68,25
3,14,74,1.55
7,19,13,25
10,11,31,25
5,8,90,25
7,17,38,100
3,11,82,25
13,19,69,25
8,9,15,25
3,21,57,100
14,13,1,1.55
2,13,82,100
6,19,34,1.55
12,22,43,100
16,10,66,100
1,7,32,100
3,1,17,100
2,4,26,100
17,13,46,100
1,16,57,100
9,15,83,25
20,17,26,100
2,18,44,25
17,10,90,100
6,7,8,1.55
16,5,31,25
4,16,3,100
2,23,25,25
7,21,8,100
12,10,30,100
7,2,45,100
17,23,52,25
21,18,78,25
16,9,90,100
2,12,58,100
3,10,78,100
20,22,28,25
20,15,68,25
14,3,74,1.55
19,7,13,25
11,10,31,25
8,5,90,25
17,7,38,100
11,3,82,25
19,13,69,25
9,8,15,25
21,3,57,100
13,14,1,1.55
13,2,82,100
19,6,34,1.55
22,12,43,100
10,16,66,100
7,1,32,100
1,3,17,100
4,2,26,100
13,17,46,100
16,1,57,100
15,9,83,25
17,20,26,100
18,2,44,25
10,17,90,100
7,6,8,1.55
5,16,31,25
16,4,3,100
23,2,25,25
21,7,8,100
10,12,30,100
2,7,45,100
23,17,52,25
18,21,78,25
9,16,90,100
12,2,58,100
